gene_name	rep	condition	total	sup	pel
ENSG00000050327.14	1	1	430.87	1409.19	1498.55
ENSG00000050344.8	1	1	4428	2967	1221
ENSG00000050393.11	1	1	2910	2554	491
ENSG00000050405.13	1	1	10864	6251	2079
ENSG00000050426.15	1	1	5757	10741	4562
ENSG00000050438.16	1	1	403	433	369
ENSG00000050730.15	1	1	36	18	9
ENSG00000050748.17	1	1	5566	5045	2227
ENSG00000050820.16	1	1	84.42	488	1204
ENSG00000051009.10	1	1	1817	6432	15439
ENSG00000051108.14	1	1	6524	12162	3993
ENSG00000051128.18	1	1	189	734	832
ENSG00000051180.16	1	1	1597	3240	902
ENSG00000051341.13	1	1	7695	2999	8171
ENSG00000051382.8	1	1	1987	1620	568
ENSG00000051523.10	1	1	1053	11816	11204
ENSG00000051596.9	1	1	7914.2	12517.16	2549.26
ENSG00000051620.10	1	1	3816	2094	3182
ENSG00000051825.14	1	1	6830.07	3142.22	3475.39
ENSG00000052723.11	1	1	7526	3793	1741
ENSG00000052749.13	1	1	434	2263	4334
ENSG00000052795.12	1	1	77	126	40
ENSG00000052802.12	1	1	21273	10950	2229
ENSG00000052841.14	1	1	11471	7386	19002
ENSG00000053108.16	1	1	28	97	124
ENSG00000053254.15	1	1	5964	7669	2452
ENSG00000053371.12	1	1	1240	4564	1110.96
ENSG00000053372.4	1	1	4417	9274	1078
ENSG00000053501.12	1	1	251	646	526
ENSG00000053524.12	1	1	64	31	82
ENSG00000053747.16	1	1	50	72	165
ENSG00000053770.11	1	1	8898	4924	3753
ENSG00000053900.10	1	1	5221	1444	4904
ENSG00000054116.11	1	1	3785	4017	1535
ENSG00000054118.14	1	1	13257	15048	6357
ENSG00000054148.17	1	1	1102	6600	19008
ENSG00000054219.10	1	1	23105.43	15322.23	9823.37
ENSG00000054267.21	1	1	6321	1972	2814
ENSG00000054277.13	1	1	37.12	16.16	7.36
ENSG00000054282.15	1	1	1669	966	544
ENSG00000054356.13	1	1	13	29	30
ENSG00000054392.12	1	1	4861	10128	7306
ENSG00000054523.17	1	1	2502	4306	1259.95
ENSG00000054598.7	1	1	26	20	23
ENSG00000054611.13	1	1	2632	8678	3834
