gene_name	sup_latent	pel_latent	pvalue
9032	4.370240438815932	2.9186159623963057	0.0865
9033	2.5477102288197004	0.8525509190776894	0.1015
9034	6.055660437426076	3.9621122443230536	0.011
9035	6.484022930344522	4.3331880442434745	0.0035
9036	5.814612053208526	3.017860426901138	0.006
9037	6.876339140021262	3.536370783448922	0
9038	5.1296621353378935	3.220306852402312	0.024
9039	7.351215358888421	3.417487908731759	0
9040	3.1574469447563622	2.23945238711656	0.269
9041	3.7844355700239714	1.5491421782609192	0.032
9042	6.049964355224368	1.766671427807495	0
9043	3.728835099818764	1.1223207850218162	0.015
9044	5.851186805456958	3.882754133403811	0.014
9045	4.2754507324410085	2.2404662375799442	0.067
9046	5.977758128272027	3.0320787457514573	0.0165
9047	2.100630391265699	-0.05488839700892567	0.0965
9048	3.3636258015866156	0.9346351335001857	0.0115
9049	-0.3703588003725548	-0.46246211873667875	0.934
9050	4.298681409887578	1.3499359006662597	0.045
9051	6.055300208845905	2.7496043386801845	0.0045
9052	0.2524189077611643	-0.5302237795778932	0.529
9053	1.3741858649271725	1.00644436124081	0.693
9054	5.547739657939628	3.1244140466779466	0.0125
9055	5.254995912623693	2.070341756157383	0.003
9056	4.577258123720943	1.45349394847516	0.0045
9057	6.2792750749548105	2.961486208354061	5e-4
9058	4.2461950848557075	1.5229929682740784	0.0695
9059	4.889566790138372	2.5759614456178497	0.0255
9060	0.6137879130596803	-0.4205355068074472	0.388
9061	8.43546457255522	3.4108079291417357	0
9062	6.07560784990938	2.4184550327455785	5e-4
9063	4.225332846712245	1.074278198141777	0.0065
9064	3.5413664896954438	1.9760178799817263	0.0675
9065	3.7449802664931298	1.929131358024189	0.187
9066	5.139218430664728	1.6060389585621413	0.01
9067	6.059522998646612	3.2740816741742518	0.0075
9068	5.370978051452409	1.5592062074118282	0.0025
9069	4.8576557591098135	1.9140182037879399	0.0115
9070	7.260322735378805	3.1596835798140637	0
9071	6.489734181411265	2.933667539579419	5e-4
9072	7.28129023953721	3.538457808113034	0
9073	5.21580329492142	2.3210604296845263	0.0145
9074	0.9334823951381863	1.2303391292098729	1.21
9075	3.663475132986846	1.8155537962524524	0.097
9076	7.201907957096392	3.6775528001829976	0
9077	7.736765189376753	3.991559967448896	0.001
9078	4.419910606964088	0.9956227406865923	0.0095
9079	4.716866253943957	3.85604648814214	0.2485
9080	4.699981879219337	1.7625436302083148	0.0125
9081	4.784701469379463	1.427444102358661	0.008
9082	5.161052503751514	1.9230849158085837	0.0165
9083	4.920976796191729	2.266863046760219	0.0115
9084	5.532247174999731	1.9514246166784068	0.0055
9085	2.203360514292794	0.585778436745752	0.2525
9086	5.240622460879003	1.955339376258112	5e-4
9087	3.0576917794833003	1.889577234440873	0.429
9088	4.223222583082119	2.5926574143498473	0.07
9089	5.882191245622031	3.4327716664259187	0.005
9090	3.834899218069798	3.246595669031329	0.4345
9091	1.8880480744367183	0.43498743531679956	0.1125
9092	6.993497026513737	3.67546902266555	0.0025
9093	4.424356681606719	2.788341421679291	0.0515
9094	4.337199096678157	3.1197347033857596	0.1275
9095	4.164776464701749	1.1167898666507299	0.033
9096	5.117611372122456	2.488248757634514	0.01
9097	4.868810080172619	2.062966684290549	0.0015
